1,Ada Lovelace,CA,25.00,Tile,249.00,3.50,4.15,871.50,1033.35,476.21,2381.06,06-01-2013
2,Doctor Who,WA,9.25,Wood,243,5.15,4.75,1251.45,1154.25,222.53,2628.23,06-02-2013
3,Albert Einstein,KY,6.00,Carpet,217.00,2.25,2.10,488.25,455.70,56.64,1000.59,06-02-2013
4,Doctor Who,WA,9.25,Wood,243.00,5.15,4.75,1251.45,1154.25,222.53,2628.23,06-02-2014
5,Albert Einstein,KY,6.00,Carpet,217.00,2.25,2.10,488.25,455.70,56.64,1000.59,06-02-2014
6,Doctor Who,WA,9.25,Wood,243.00,5.15,4.75,1251.45,1154.25,222.53,2628.23,06-02-2015
7,Albert Einstein,KY,6.00,Carpet,217.00,2.25,2.10,488.25,455.70,56.64,1000.59,06-02-2015
8,Ada Shoe,CA,25.00,Tile,249.00,3.50,4.15,871.50,1033.35,476.21,2381.06,06-02-2015
9,Ada Shoe,CA,25.00,Tile,249.00,3.50,4.15,871.50,1033.35,476.21,2381.06,06-02-2016
10,Randy* Hash 2 Inc.,KY,6.00,Wood,100.0,5.15,4.75,515.00,475.00,59.40,1049.40,07-07-2021
